,comment
0,"SKIP NAVIGATION
SIGN IN
Blitz Tracker
secure.wealthpress.com/
Access Now
Ad 2 of 2 ·
4:36
secure.wealthpress.com/
2



0:03 / 4:40
Why The Stock Market JUST Dropped
399,516 views•Sep 21, 2020
30K
581
SHARE
SAVE
Graham Stephan
2.82M subscribers
JOIN
SUBSCRIBE
Here is what’s happening in the stock market today, how to invest moving forward, and everything else you need to know to build wealth and retire early. Enjoy! Add me on Instagram: GPStephan

LIMITED TIME: Get A FREE $8+ STOCK ON WEBULL when you deposit $100 (Potentially Worth up to $1600): 
SHOW MORE
3,219 Comments
SORT BY
Add a public comment...
Points Pointers
4 months ago
When is Mr. wonderful Kevin video coming out?!!
Congrats on all the success man!
293
REPLY
View 33 replies from Graham Stephan and others
MIgardener
4 months ago
""suspicious activity reports (sars) ........ fitting for 2020.
214
REPLY
View 10 replies
FatGuy
4 months ago
They closed casinos and options are the next best thing
188
REPLY
View 13 replies
Can I Get To 1 Subscriber Before 2020 Ends?
4 months ago
the only disadvantage of watching Graham is all the 'get rich quick' scam ads......
88
REPLY
Jack Rackam
4 months ago (edited)
Great explanation! Never knew what an option was before, obviously not spending enough time in /r/wallstreetbets. I wonder though, while amateur investors using the market to gamble sounds like a recipe for disaster, fundamentally shouldn't the ability to use leverage while investing in the stock market be just as useful as using leverage to invest in real estate? Could there be some safer way to use options on an index fund? Or would those options be more expensive since the investment is less risky?
Read more
102
REPLY
View 12 replies from Graham Stephan and others
Money Journal
4 months ago
I’m a simple man. I watch my portfolio fall and come to graham to be reminded that it’s all okay
422
REPLY
View 14 replies from Graham Stephan and others
Scott Olivia
4 months ago
Nice video 👌 Graham Stephan
Despite all the economic crisis this is the best time to start up an investment
73
REPLY
View 34 replies
Lucia Lorenzo
4 months ago
The rich see economic crisis as a garage sale, that’s why investing right now will be the best decision...
96
REPLY
View 56 replies
Valleyboy 63
4 months ago
“What’s up Graham it’s guys you here” it was hard to focus on the vid after that intro LOLLL
36
REPLY
Brett McKinney
4 months ago
""The market can remain irrational longer than you can remain solvent."" I like that one.
115
REPLY
View 41 replies from Graham Stephan and others
MiAlex Vi
4 months ago
when you don't even realize the stock market is crashing bc you've been losing money for weeks
92
REPLY
View 15 replies
THE INFOTAINER
4 months ago
""What's up Graham it's guys you here""
-GRAHAM STEPHEN,2020
5
REPLY
TankEnMate
4 months ago (edited)
Retail investing in 2020: ""They mistook leverage for genius."" -- Steve Eisman
23
REPLY
Yunseo Lee
4 months ago
Graham is like that friend trying to reassure me everything is okay. I’m okay 🙃
10
REPLY
Financial Beanstalk
4 months ago
Commenting a couple days late so the YouTube algorithm realizes this video is still relevant!
1
REPLY
Tonight’s Biggest Loser
4 months ago
“StOnKs OnLy Go Up”
1
REPLY
View reply
Kyle Erickson
4 months ago
Wallstreetbets has entered the chat
2
REPLY
Athan Datu
4 months ago
I'm a long term click and hold investor of Graham's Like button
17
REPLY
The Icelandic Investor
4 months ago
Everything about to be on sale 😎
561
REPLY
View 90 replies from Graham Stephan and others
Peter Francis
4 months ago
NKLA BagHolder has left the chat
REPLY
Aljaž Ferenc
4 months ago
""what's up graham it's guys you here"" killed me
REPLY
Glaucio Pedroza
4 months ago
“What’s up Grahams? Guys here?”. I’m paying attention! Lol.
REPLY
/u/TheWallStreetBetsGod
4 months ago
Graham Stephen was the kinda kid that held the crayon in his whole hand
REPLY
Spencer Comps
4 months ago
The beginning lowkey had me thinking my earbuds we're whack
REPLY
Grill Wasabi Sushi Channel
4 months ago
Robinhood investors have to go back to school!😂🤣😂🤣😂
1
REPLY
Azhal Halil
4 months ago
No one:

Me during the first line: 👁👄👁
REPLY
Alexander Brundin
4 months ago
i like how your version of crash is a 2% down on a full month...
2
REPLY
Robert Yin
4 months ago (edited)
""What's up Graham it's guys you here"" 

First spending money now this
Read more
333
REPLY
View 19 replies from Graham Stephan and others
Tony McSteven
4 months ago
I love it when he says “what’s up Graham’s”
REPLY
grahame bywater
4 months ago
""What's up, Grahame!"" Hey.
REPLY
blondspike74
4 months ago (edited)
Your intros are sometimes funny; like you’re testing who’s actually listening what you’re saying!  I have dyslexic moments myself too sometimes.
REPLY
Justin Si
4 months ago
“What’s up Graham it’s guys you here.” 😂😂
REPLY
View reply
Midwest Chris
4 months ago (edited)
I'm over here waiting on the housing bubble to burst
REPLY
The Art of KAS
4 months ago
""The Robinhood investors had to go back to school"". 🤣🤣😂That made my morning
2
REPLY
Willie Lugo
4 months ago
Let’s dress up as a like button from all social medias
REPLY
MK Song
4 months ago
Not enough appreciation for that intro, almost got me
REPLY
MAYZE
4 months ago
Last time i was this early corona was just a drink
52
REPLY
View 2 replies from Graham Stephan and others
JM
4 months ago
I just love it when he uses that slow motion angry voice. Cracks me up every time, lol.
25
REPLY
View 4 replies from Graham Stephan and others
Paul Christopher Little
4 months ago
imagine new viewers when they saw the intro
REPLY
xXSo SibsXx
4 months ago
The facial expressions in these thumbnails are hilarious
2
REPLY
Levari223
4 months ago
Imagine making the like button a stock
1
REPLY
Christopher Ellis
4 months ago
Waldemart comes slithering in.
REPLY
Slappy Thastick
4 months ago
“What’s up Graham, it’s guys you here.” 🤪
6
REPLY
Joy Mae - Millennial Money Talk NYC
4 months ago
""worst september in 10 years"" damn.
2
REPLY
Jordan Williams
4 months ago
Graham getting into options around the same time I am truly is a blessing in disguise.
REPLY
I Will Become a Millionaire
4 months ago
Haha, I appreciate that you always make liking the video entertaining!
1
REPLY
Ayyy Jester Dazed
4 months ago
Workhorse and Fiverr have been my saving grace🙏🏽
REPLY
Josep Gelabert
4 months ago
Just smashed the like button while the broken glass sound happened. Perfect sync.
REPLY
Todd Wooten
4 months ago
Probably the best smash the like button advertisement I've heard to date. You've earned a sub.
REPLY
Petar Dimitrov
4 months ago
Like I keep saying, the market dropped because I bought! 🤦🏼‍♂️😁
257
REPLY
View 55 replies
Alii Garcia
4 months ago
That intro had me questioning if I really was Graham.
REPLY
kurt sanders
4 months ago
Buy in the dip, keep crashing and yell “long!”
1
REPLY
M
4 months ago (edited)
Alessio Rastani would say:  ""
Show Me The Charts and I'll Tell You the News""
REPLY
sgtcole40
4 months ago
Did you just say...""what's up Graham, it's guys you here"" ?? Or am I having a stroke 🤔
1
REPLY
Jack Duffley
4 months ago
""The answer to debt is more debt"" - The Gov't, probably, or maybe Robinhood margin yolo-ers
229
REPLY
View 11 replies from Graham Stephan and others
Matt Nichols
4 months ago
SoftBank: Buys $4,000,000,000 in call options

Everyone: Damn RH traders flooding the market...
3
REPLY
cheese moolloy
4 months ago
i swear i just had seizure in the first 10 seconds
REPLY
Alcides Fuentes
4 months ago
I just seen the social dilemma on Netflix  and now I know who created the like button lol I also get your videos recommended to me 😁
REPLY
Pratik Kabra
4 months ago
He said 'What's up Graham, it's Guys you here' !! :D
REPLY
ROKAP
4 months ago
Had to play the start back like 5 times to understand what just happened
95
REPLY
View reply
carlos b
4 months ago
you really have too start deleting all the comments made from these bots
5
REPLY
David Boeger
4 months ago
Is it sad that after watching hundreds of Graham's videos, this is literally the first time he didn't catch me off guard with the smashing-the-like-button joke?
REPLY
Zayd
4 months ago
Update: From Thursday 24th September, bars, pubs and restaurants will be closed from 10pm in the UK
REPLY
Dandy Finance
4 months ago
Little Jimmy can't trade options anymore, since he is busy with his 5th grade maths now haha! Thanks for the share!
REPLY
Barbara Almeida
4 months ago
omg Again, ""what's up Graham, it's guys here"" hahahaha loved it
REPLY
Jak Żyć w Stanach
4 months ago
""What's up Graham it's guys you here"" 😆 I just love when you put those in your video 🙂
REPLY
Hannah Vardy
4 months ago
I'm stuck on, 'what's up Graham it's guys you here'. Made my day! lol Great video as always :)
REPLY
Amber Leon Guerrero
3 months ago
This was very helpful in understanding what’s happening. More videos like this please!
1
REPLY
Tim Y
4 months ago
when is that like button going to spit out those dividends? when it goes public? graham we need answers! Lol
137
REPLY
View 2 replies from Graham Stephan and others
Foundations Of Knowledge
4 months ago
The Markets are so unpredictable some people panic some people take advantage of it
1
REPLY
Mike Li
4 months ago (edited)
October is a 3 paycheck month for me. So as long as the market keeps dropping, then I can keep buying in at a discount! 😅

Also, happy last day of summer everyone. Autumn 2020 begins. Let’s finish this crazy year with more shenanigans!
Read more
REPLY
Markymark Mark
4 months ago
Man at 7:26 I was so focused on he was explaining the option trading and then boom “mimicking Graham” then boom I start dying of laughter 🤣🤣😂
REPLY
Boundless Intrepid Discovery
4 months ago
Your constant Like Button puns are great. lol
REPLY
ストラーノジュゼッペ
4 months ago
Hi Guys, I'm Graham. So sad to see that the drop market just stocked...
87
REPLY
View 5 replies
Philip Sheridan
4 months ago
The irony of getting a Nespresso add on Graham’s video
REPLY
Patrick Wroblewski
4 months ago
Had to replay first 3 seconds of vid because i smelt something burning and Graham greeted himself as you guys
REPLY
Jade Choi - Million Dollar Challenge
4 months ago
We all knew this was coming 🤦‍♀️
1
REPLY
Finaldontasy
4 months ago
Delayed stimulus? But Meet Kevin keeps telling us 2-4 times per day that we're getting one.
REPLY
Ykhavari
4 months ago (edited)
My plan: 
Step 1: Buy stocks for cheap
Step 2: Forget I bought stocks and randomly remember after like 20yrs
Step 3: Sell off all stocks and hopefully have enough money to afford a 21 cent Iced coffee
474
REPLY
View 17 replies
Nixpa
4 months ago
Ddnt even realize I just watched 11 minutes,, felt like 2. Guess that means it was good
1
REPLY
Anaestereo
4 months ago (edited)
Leveraged trades...that teen that took his life comes to mind.
3
REPLY
View reply
Moha Tips
4 months ago
Awesome video Graham! Always a huge inspiration to me as a small Youtuber 👍
1
REPLY
Matias Castellon
4 months ago
8:45 It seems funny but it’s actually true lmao
1
REPLY
Paul O'Connor
4 months ago (edited)
He's doing it on purpose at this point... he's said ""Hey Graham, it's guys here"" several other videos. Now... he's changing it up. ""Hey Graham, it's guys you here.""
1
REPLY
Stock Compounder - Brad Kaellner
4 months ago
For anyone who is a buyer of stocks over the next 20 years, a dropping stock market is great news!!! You get to own the businesses that you love at discount prices. When the media tries to spin it as something to be afraid of, flip it around in your brain and celebrate :)
63
REPLY
View 4 replies
P Sharpe
4 months ago
The Like button line was slick.
REPLY
Trey Falter
4 months ago
Bruh he GOT me... ""single best investment you can make in less than a second and the ticker is SMASH""

I've never been more GOT GETTIN THAN THAT
REPLY
Invest With Queenie
4 months ago
The like button (ticker symbol GSX:LIKE) has been traded at all time high in the last couple of videos on the GSX (Graham Stock Exchange)
107
REPLY
View 8 replies
Arjun Mahajan
4 months ago
Leverage is the Weapon of Mass destruction
1
REPLY
Jack Snider
4 months ago
You’re absolutely right about Robinhood users going back to school. I and literally everyone I know here at college is investing
REPLY
Dominic Wilkerson
4 months ago
My brain just stopped on the first 4 seconds.
REPLY
Frank Nemecek
4 months ago
I regret that I can only hit the ""like"" button once for this video.
REPLY
Hack Your Finances
4 months ago
As always great content that helps break down concepts! Thanks Graham!!
1
REPLY
TheLeftyTrader
4 months ago
Dang Graham just roasted me on using Margin. Oof.
REPLY
Michael Risi
4 months ago
The comment predictions are so good
REPLY
Trey50Daniel
4 months ago
So, in other words, we can just blame r/wallstreetbets for this.
4
REPLY
View reply
Finance Unboxed
4 months ago
The stock market dropped because the money machine stopped going Brrrrrr
36
REPLY
View 3 replies from Graham Stephan and others
Michael Invests & tries to make Money
4 months ago
Dw I watched 2 YouTube videos I know what I'm doing K...
1
REPLY
College Dummy
4 months ago
Man I clicked that like button😂😂 you got us.
REPLY
Finance ABC’s
4 months ago (edited)
How do you get 1.1K comments and 36K  views in one hour????
1
REPLY
Ahsan S
4 months ago
My portfolio is crying rn 😭😢
REPLY
Richard Walls - Career Dev & Finance
4 months ago
Great video, Graham! Sort of side topic, but I'd be interested in seeing a video on Nikola, given all the shenanigans (that's right, shenanigans) they appear to have gotten themselves into lately.
1
REPLY
NatsuPicchu
4 months ago
ya boy just yolo’d half my portfolio on tesla calls expiring the 25th abt to experience a severe loss of tendies
REPLY
PINK USER
3 months ago
I'm unlucky because after experiencing what's going on, it is my fault for not being fully aware of this.

Don't end up like me guys.
REPLY
Matt of The North!
4 months ago
Happy Battery Day Eve!  😎 🚘
1
REPLY
Frank D
4 months ago
What are your thoughts on this Nikola situation?
REPLY
Kelsey Winter
4 months ago
There seems to be some suspicious activity happening when you SMASH that like button for the YT algorithm.
REPLY
Yung Kali
4 months ago
TESLA, AMAZON AND NETFLIX THATS ALL U NEED 🏃🏽
REPLY
a
4 months ago
Talk to Andrei about Nikola 😹
REPLY
Donald Wolfe
4 months ago
Laughed at the Black White part ""Why doesn't this matter I don't buy Options. Why Should I care at the 7:28 to 7:30  mark
REPLY
Jancarlo Rodriguez
4 months ago
You can tell Graham got a girlfriend, he seems more dressed up now for his videos or something, I dont know what it is but he looks different hahaha
REPLY
brachios squill
4 months ago
graham the most epic crossover would be for you to meet ben shapiro and then critique his spending
he sounds like you but at 1.5% faster speed 10/10 would recommend
1
REPLY
Justin Rogo
4 months ago
I can't  believe people still don't smash the like button for the YouTube algorithm
REPLY
The Rideshare Hub
4 months ago
no one: 
Graham: whatsup Graham it's guys you  here!!
64
REPLY
View 3 replies from Graham Stephan and others
Vanilla Vegan
4 months ago
Dude I just recognized you on the show selling sunset! 😱
REPLY
Benni Springer - Financial IQ & Self Development
4 months ago
These intros always kill me 😂
REPLY
Market Analysis
4 months ago
""Dont try to time the market!!"" but maaaybe i can lol
REPLY
Not Tasteful • 69 years ago
4 months ago (edited)
If the stocks app isn’t in your front page on your phone, you aren’t a true Graham Stephan fan
REPLY
stewart doty
4 months ago
You missed a button bro.. not the like button, of course
3
REPLY
Brian Layland
4 months ago
Dude totally random, but you should do a collab with Matt D’Avella!
REPLY
Hayden Kearney
4 months ago
The intros are getting progressively more tongue twisted haha
REPLY
Safari
4 months ago
Graham places his ads sooooo strategically
REPLY
Robert Yin
4 months ago
that $1400 can buy so much iced coffee
REPLY
Ryan R
4 months ago
SPHD SPYD are for real looking very attractive at these levels.
REPLY
Makeuprehab
4 months ago
I love watching black&white skeptic Graham LOL
REPLY
Israel Mondragón
4 months ago (edited)
Like one wise sponge once said “ I’m ready I’m ready I’m ready!!!” I still have 4K before maxing out my roth RIA 😏
1
REPLY
cristian hernandez
4 months ago
Bro your hair looks amazing in this video idk what you’ve done but 👍 nice
REPLY
Money with Mason - Personal Finance and Investing
4 months ago
You nailed it with uncertainty - so much of it these days
29
REPLY
View 3 replies from Graham Stephan and others
Austin Burger - Investing
4 months ago
I've been selling quit a bit of my positions. Many others may be dong the same to get out of bad investments. Great video! 😀
1
REPLY
Cameron Harmon
4 months ago
My goal is to always smash the like button before graham tells me 😂
REPLY
Clam
4 months ago
Thanks Graham, I really like these type of update videos, it's cool to hear your perspective and the things you are learning too.
REPLY
Caleb McKitrick
4 months ago
Love watching your subscribers increase every time i watch. Keep it up Graham!
REPLY
Jason Stropko Glass
4 months ago
I've never caught your video mere seconds after it was published. Looking forward to hearing what's going on!
19
REPLY
View 3 replies from Graham Stephan and others
Johannes
3 months ago
Claim your „here before 1 million views“ ticket 🎫
REPLY
money sun
4 months ago
Man 2020 just needs to end.
1
REPLY
BuySideBabe
4 months ago
Graham’s hair seems to go in reverse with Kevin’s beard 😂 you guys both coining so who cares lol🌟😎
REPLY
CasinoCanal
4 months ago (edited)
What's up Graham, it's guys you here :D Made me a good laugh, Thanks ! :'D
REPLY
Andrew Gallutia
4 months ago
Your'e such an inspiration! Thank you for teaching things my college will never teach!
10
REPLY
Alex the Bobo Games!
4 months ago
You explained r/wallstreetbets
REPLY
Byron Cudworth
4 months ago
Those gray-scale sections remind me of Doug Stanhope
REPLY
Abraham
4 months ago
Appreciate the the detailed video description! It really helps in digesting the video better. Thanks Graham :)
REPLY
David Delfin
4 months ago
Random question. Do youtubers still feel weird when the listen to their on voice when it's recorded? Like every other person. I figured you've been making videos this long you're probably used to it already 😄
REPLY
J F Real Estate
4 months ago
It's always going extremely up or extremely down! This is insane!
4
REPLY
View 4 replies from Graham Stephan and others
Devilmode
4 months ago
Awesome intro! 😂 you had me confused for a good couple seconds. Great advice regarding trading with leverage.
REPLY
Alex Martinez
4 months ago
Market recovering today as Graham posted it last night haha
REPLY
Martin Adamski
4 months ago
SoftBank Group has known about ""mom and pop retail traders"" and they love it.
REPLY
Luke Bao
4 months ago
is just me or is grahams hair popping off today?
REPLY
Casey Burns Investing
4 months ago
Imagine if it was 130 degrees outside... then the temperature went down by 2%. 

Would you say it’s not hot outside at 127.4 degrees?
64
REPLY
View 5 replies from Graham Stephan and others
Lucas H
4 months ago
Looks like I bought in right at the top 😂
Should I buy more now or do you think it’ll drop further?
REPLY
Kal Aziz
4 months ago
Yep. I live in London and they’ve announced the 10pm curfew on bars and restaurants. I’m confident there will be a small lockdown next month.
1
REPLY
Akki Kishore
4 months ago
Awesome intro, I missed it at first lmao.
REPLY
Lady Machiavelli
4 months ago
Ok, how many times did it take to get that intro?
REPLY
Manny 91
4 months ago
Going all in on ONEQ (NASDAQ)
REPLY
Orlando Marin
4 months ago (edited)
New hair? Also great video as always!
REPLY
jeff eder
4 months ago
Graham, can you make a video detailing all about options and option trading?? You do such a good job explaining things on a level everyone can understand.
REPLY
AimAim
4 months ago
I just smashed the like button when I see him to so hard not to smile every time he asks us to smash the like button. lol
REPLY
Money Dad
4 months ago
Who else did a double take at that intro
REPLY
Christopher Dunn
4 months ago
Just realized Gram is a bit older than me which means in 60 years he may stop making videos but then how will I get my news (provided I am still alive).
REPLY
Christopher Dunn
4 months ago
Just realized Gram is a bit older than me which means in 60 years he may stop making videos but then how will I get my news (provided I am still alive).
REPLY
Alan's Theory
4 months ago
You made me laugh with your surprise ""hit the like button"". I always do it, but this time it was well deserved
REPLY
Alex Wyler
4 months ago
The movie Margin Call on Amazon prime ( 3 stars) with Paul Bettany, Jeremy Irons and Demi Moore  kind of explain the concept of margin calls.
10
REPLY
View reply
Marty D
4 months ago
stonks only go up! 📈
REPLY
Gustavo
4 months ago
Looking like a player from a romactic drama series.. looking good.
REPLY
Piotr Swierzewski
4 months ago
That like button insertion was beautiful
REPLY
Daniel Dondo
4 months ago
I literally heard the hey Graham it's you guys and it just automatically made me smash the like button 😂🤣🤣🤪
REPLY
Russell Petrie
4 months ago
10pm curfue is in force for pubs in the uk
REPLY
T-BoT
4 months ago
Your intro sense to me makes. Lysdexia's a group marginalized.
REPLY
Grant Navarre
4 months ago
Another great video! The ticker symbol STLB is the hottest trending stonk.
REPLY
FinalNinja1226
4 months ago
Really appreciate the explain like im 5 moments, Graham. Great video!!
REPLY
Sari Abukhadra
4 months ago
""At the time of this video the stock market has recovered it's losses and is on the way to new all time highs""
REPLY
Ifti's Playback
4 months ago
Ah yes the 1920s are repeating themselves. Cant wait for the depression that comes soon after this one... 😔
REPLY
Lliam Moore
4 months ago
Great time to join the stonk market
1
REPLY
Nick Kitzmiller
4 months ago
I love your Goofy intro. Makes me laugh every time. Have a good day! Thank you for the Info as always !
1
REPLY
Carson Baker
4 months ago
Bro, I’m doing my homework right now so I can’t watch. I’ll come back later though. Love your videos Graham.
22
REPLY
Benaldo Smith
4 months ago
You're right sir, Thanks for introducing me to Mr spencer
REPLY
Tony Hawk
4 months ago
nice looking shirt man, 👍looks like someone about to head to the carribeans
REPLY
Double A Hit Music
4 months ago
Am I the only one who noticed that Graham swapped words in his intro greeting? 🤣
REPLY
Beau B
4 months ago
Dude, Stroke, why do I have a Graham every time start video does?
REPLY
Zachary Wyse
4 months ago
“What’s up Graham it’s guys you here.”

Me:🤔
45
REPLY
View 4 replies from Graham Stephan and others
TrevorAugustine
4 months ago
What's up Graham, guys-you here.
REPLY
Blitz Tracker
Ad
secure.wealthpress.com/
ACCESS NOW
17:34
Explained | The Stock Market | FULL EPISODE | Netflix
Netflix
6.4M views
9 months ago
57:18
Stock Market for Beginners 2021 | Step by Step Guide
Marko - WhiteBoard Finance
925K views
1 month ago
15:00
The GameStop Infinite Money Glitch Explained
Graham Stephan
1.2M views
2 days ago
New
38:26
Why Grantham Says the Next Crash Will Rival 1929, 2000
Bloomberg Markets and Finance
886K views
1 week ago
23:01
The REALISTIC Millionaire Investing Advice In Your 20s
Graham Stephan
720K views
7 months ago
15:15
How I Became A Millionaire In 1 Year
Andrei Jikh
562K views
1 week ago
23:10
Stock Market Is Massively Overvalued With Mother of All Bubbles Waiting to Collapse | David Stockman
Stansberry Research
234K views
1 month ago
21:33
How To Make Passive Income with $500
Graham Stephan
1M views
5 months ago
1:06:16
Principles for Success from Ray Dalio: Founder of the World’s Largest Hedge Fund
Summit
2.1M views
2 years ago
1:11:16
How to Trade Options on Robinhood for Beginners | Comprehensive Guide by InTheMoney
InTheMoney
3.1M views
11 months ago
6:52
Stock Market Corrections: Why Markets Stumble
The Plain Bagel
45K views
2 years ago
30:21
Cathie Woods - Investing in disruptive innovation | SingularityU ExFin South Africa Summit
Singularity University
1M views
1 year ago
2:29
Warren Buffett: When Stocks Go Down, It's Good News | CNBC
CNBC
245K views
4 years ago
17:38
Why The Middle Class Are Financially RUINED
Graham Stephan
492K views
1 week ago
14:23
Do This NOW - Once You Save $1,000!
Andrei Jikh
651K views
5 months ago
15:46
6 Millionaire Habits I Wish I Knew At 20
Graham Stephan
703K views
5 months ago
4:10
Why Stock Prices Go Up and Down, Explained With Tilray
The Motley Fool
52K views
1 year ago
4:30
How does the stock market work? - Oliver Elfenbaum
TED-Ed
3.3M views
1 year ago
18:37
How To Retire by 30 Years Old | Starting with $0
Graham Stephan
614K views
6 months ago
26:52
Revealing My ENTIRE $13 Million Investment Portfolio | 30 Years Old
Graham Stephan
647K views
1 month ago
1:29:23
Professional Stock Trading Course Lesson 1 of 10 by Adam Khoo
Adam Khoo
2.7M views
2 years ago
27:44
How To Buy Your First Rental Property (Step by Step)
Graham Stephan
2.7M views
2 years ago
5:55
Wallstreetbets & GameStop Short Squeeze | Explained
Stock Tricks with Nick
712 views
7 hours ago
New
13:57
Are the Indian Stock Markets Overvalued? 4 Share Market Valuation Metrics Every Investor Should Know
ETMONEY
32K views
1 month ago
23:23
BEST STOCKS TO BUY NOW [JANUARY 2021] || HIGH GROWTH STOCKS
George Perez
196K views
2 weeks ago
13:06
10 Things I Stopped Buying | Financial Minimalism
Graham Stephan
357K views
2 months ago
16:58
Why I Owe The IRS $1.5 Million Dollars
Graham Stephan
337K views
2 months ago
14:15
My Thoughts On The 2021 Stock Market Crash
Graham Stephan
555K views
2 months ago
8:49
How Does the Stock Market Work?
Concerning Reality
917K views
1 year ago
18:17
The Absolute Chaos of r/Wallstreetbets
big boss
2.8M views
5 months ago
4:09
Why Is the Stock Market Up When the Economy Is Down?
TD Ameritrade
41K views
7 months ago
14:32
What JUST Happened To The Stock Market
Andrei Jikh
421K views
7 months ago
27:42
How To Analyze Stocks (Technical Analysis)
Rayner Teo
108K views
1 year ago
15:14
The Problem With Dividend Investing (For Passive Income)
Andrei Jikh
340K views
4 months ago
2:53:42
Options Trading for Beginners (The ULTIMATE In-Depth Guide)
projectoption
5.2M views
8 months ago
14:43
Cathie Wood JUST Warned of Coming Market Crash | Bitcoin & Inflation.
Meet Kevin
336K views
2 weeks ago
The Top 5 BEST Investing Apps
Graham Stephan
911K views
1 year ago
Tesla's Future Battery Strategy Explained
Two Bit da Vinci
338K views
4 months ago
30:00
$1,000,000 Stocks Portfolio in 3 Years - 12 Secrets How I did it & YOU CAN TOO
Financial Education
196K views
2 months ago
13:59
HOW TO MAKE EASY MONEY SHORTING THE STOCK MARKET
Graham Stephan
379K views
2 months ago
Did Gold JUST Predict a Stock Market Crash?
Game of Trades
138K views
1 month ago
Why I’m Selling My Stocks
Graham Stephan
615K views
1 month ago
10 Hot Stocks To Buy Now - Top 10 Best Stocks
Financial Education 2
80K views
1 month ago
24:53
How I became a Millionaire in Real Estate by 26
Graham Stephan
1.9M views
3 years ago
18:45
Forex Weekly Analysis | Counting Market Levels
FXN Trading Group
1.6K views
2 months ago
23:55
The December Stock Market Crash | Do this NOW
Meet Kevin
227K views
1 month ago
27:40
How To Buy A Home In 2021 (THE STEP BY STEP TUTORIAL)
Graham Stephan
791K views
2 years ago
24:19
How I Turned $150 into $1,000 In Two Weeks On Robinhood – Mastering A Small Account Trading Strategy
Trading Fraternity
713K views
1 year ago
15:46
HOW TO INVEST $100 PER WEEK ASAP
Graham Stephan
346K views
3 months ago
11:16
Nifty P/E at 37 - MARKET CRASH Very Soon?
P R Sundar
270K views
1 month ago
13:24
Retail Traders Are Still Extremely Bullish | Stock Market Analysis
Figuring Out Money
8.4K views
1 day ago
New
20:03
Stock Market For Beginners 2020
Financial Education
575K views
1 year ago
10:19
Stock Market SELLOFF - What's Happening In The Stock Market
Minority Mindset
82K views
2 months ago
12:48
The Stock Market Crash Today | Why... Tesla.. SPI Energy..
Meet Kevin
153K views
4 months ago
13:26
TOP 5 INVESTMENTS Of All Time - For Passive Income
Andrei Jikh
357K views
5 months ago
31:41
STOCK MARKET SELLING OFF? | Buy THESE 7 Stocks NOW?
Stas Serfes
5.4K views
2 days ago
New
How I Find my Next $1,000,000 Stock. High Growth Investing Tutorial
Financial Education
270K views
6 months ago
Plug Power Stock Analysis | What You Need To Know (Episode #2)
Dave Lotito - Personal Finance & Investing
4.5K views
1 month ago
How Much I Make From 6 Rental Properties
Graham Stephan
305K views
5 months ago
How To Buy A House (STEP BY STEP)
Marko - WhiteBoard Finance
99K views
4 months ago"
1,"Here is what’s happening in the stock market today, how to invest moving forward, and everything else you need to know to build wealth and retire early. Enjoy! Add me on Instagram: GPStephan

LIMITED TIME: Get A FREE $8+ STOCK ON WEBULL when you deposit $100 (Potentially Worth up to $1600): "
2,"When is Mr. wonderful Kevin video coming out?!!
Congrats on all the success man!"
3,"""suspicious activity reports (sars) ........ fitting for 2020."
4,They closed casinos and options are the next best thing
5,the only disadvantage of watching Graham is all the 'get rich quick' scam ads......
6,"Great explanation! Never knew what an option was before, obviously not spending enough time in /r/wallstreetbets. I wonder though, while amateur investors using the market to gamble sounds like a recipe for disaster, fundamentally shouldn't the ability to use leverage while investing in the stock market be just as useful as using leverage to invest in real estate? Could there be some safer way to use options on an index fund? Or would those options be more expensive since the investment is less risky?"
7,I’m a simple man. I watch my portfolio fall and come to graham to be reminded that it’s all okay
8,"Nice video 👌 Graham Stephan
Despite all the economic crisis this is the best time to start up an investment"
9,"The rich see economic crisis as a garage sale, that’s why investing right now will be the best decision..."
