,Unnamed: 0,comment,label
0,0,"SKIP NAVIGATION
SIGN IN
0:01 / 26:51
Revealing My ENTIRE $13 Million Investment Portfolio | 30 Years Old
647,363 views•Dec 2, 2020
37K
681
SHARE
SAVE
Graham Stephan
2.82M subscribers
JOIN
SUBSCRIBE
Here is a breakdown of my entire $13 million dollar investment portfolio, why I made each investment, and how I was able to build this up over 13 years - enjoy! Add me on Instagram: GPStephan 

TRY OUT YOTTA BANK AND GET 100 BONUS ENTRIES: 
SHOW MORE
3,989 Comments
SORT BY
Add a public comment...
Andrei Jikh
1 month ago
I saved 20 cents on my iced coffee by not drinking any
5.7K
REPLY
View 95 replies
Jessie Reyez
1 month ago
I can't express how grateful I am for this insight.
243
REPLY
View 5 replies
Slay Network
1 month ago (edited)
This guy got bad grades in high school? Nuff said!
447
REPLY
View 9 replies
XenonLegend
1 month ago
Goals, actual goals!!
315
REPLY
View 2 replies
Mark Johnson
1 week ago
Hello everyone, l'm actually looking for a good trader that can help me trade and make good profits, but is very hard to see a trusted one... Any idea..
18
REPLY
View 47 replies
Nate O'Brien
1 month ago
Thanks Graham. I feel poor now
1.6K
REPLY
View 20 replies
OT Pocket
1 month ago
Dangit i cant use Yotta im not 18 yet
52
REPLY
View 4 replies
Money Malayalam
1 month ago
❤️❤️Big fan of u
38
REPLY
View reply
nancy lyne juras
1 month ago
Wow I’m 23 and am so glad i came across this , really cleared some of the confusion i had about it . Getting ready to invest in my first stock soon w my first $100 from work, wish me luck
199
REPLY
View 20 replies
Johannes
1 month ago
You’re literally the only YouTuber from which I take those “smash the like button” words and they don’t annoy me but I actually pause the video and smash the like button!
89
REPLY
View 2 replies
Poline Chan
1 month ago
Graham was so good as a real estate agent, he sold himself the house.
1.1K
REPLY
View 5 replies from Graham Stephan and others
Bucho
1 month ago
Been following you for about 3 years and really trying to learn as much as I can. You're a real inspiration and your approach to personal finance has helped me achieve a lot. I've just gotten approved by the bank to buy a 350.000$ apartment with a 20% down payment at the age of 19, and I'm so excited to start my real estate journey. Hope to become as successful as you one day! Merry Christmas
90
REPLY
View 8 replies
Keith L
2 weeks ago
Most impressed by your $200k saving as a 20 year old and the ability to not blow the lot on a lambo! Well done, sir!
10
REPLY
Grow with Will - Level Up Your Business Skills
1 month ago
20:04 for everything other than properties.
78
REPLY
Stay Awake Games
1 week ago
Major props for not increasing those peoples rent after 8 years. That's huge.
9
REPLY
Franco Berardi
1 month ago
“Hey mom... I’m dropping out of high school to be like graham”
31
REPLY
View reply
Erick Zefingveria
6 hours ago
his green shirt that he wears is from target and is like 15 bucks
1
REPLY
Muhammad Abdullah
1 month ago
Graham: I keep 2 million in a CD with 1.75% to keep inflation away
Inflation: Am I a joke to you? I am 10% inflation
19
REPLY
Kelsey Winter
1 month ago
Graham: ""Don't go absolutely crazy on the like button.""
Me: ""Too late...""
32
REPLY
View reply
Unity Assets And Hyper Casual Games
1 month ago
In next video please say ""what's up you girls, it's Graham here"" :P
1K
REPLY
View 11 replies from Graham Stephan and others
Rebecca Allyne
2 weeks ago
Elon Musk's emergence as world richest man should be a  motivation to people on YouTube that are starting out that anything is possible. You will need to take major risks and invest TIME into whatever you may wanna do.  Good luck to everyone trying to get ahead in life, wish you guys nothing but the best.
54
REPLY
View 6 replies
Rommie Abdelnour
1 month ago
like button exists 
Graham: ""is for me?""
17
REPLY
KINGJulien
1 month ago
Graham 2019: I would do less riskier investments in the coming year
Also Graham 2020: Becomes an a Angel Investor
27
REPLY
David
2 weeks ago
damn my man only earns 250k per month, this was like my dream per year in like 30 years lmfao
8
REPLY
View reply
Jon E
1 month ago
WATCH WITHOUT SOUND. CHECK THE MANNERISMS. IT'S A MASTER CLASS ON TEACHING HOW TO KEEP PEOPLE'S INTEREST.
16
REPLY
View reply
nickaa121212
2 weeks ago
Wholy f*ck man. That’s impressive. Thanks for the insight.
4
REPLY
Abdul Forex & Investing
1 month ago (edited)
Next video on "" How you almost got bald and got your hairs back "" .
5
REPLY
Claire Phillipps
1 month ago
Well I always advise you do a background check up on your source before investing, Ensure You are investing through a solid foundation source to avoid losing hard earned money
59
REPLY
View 7 replies
Travis S
1 month ago
It’s impossible to watch these videos without absolutely destroying the like button.
575
REPLY
View 10 replies from Graham Stephan and others
robert fierro
1 month ago
This video just explained the real secret of building wealth, which is investing in multiple income streams.👌
114
REPLY
View 12 replies
Gary Threadgill
1 month ago
Can i invest aside real estate investment
50
REPLY
View 35 replies
Chris Bourne - Tax Free Investing Expert
1 month ago
You’ve doubled your wealth through one of the most volatile years in living memory - that’s awesome man and a reminder to anyone that there’s always opportunity, no matter how negative the news is! 💥💥💥
22
REPLY
View 9 replies
The3baldwin
1 month ago
I just watched your 6 million one the other day. Amazing you doubled in a year!
1
REPLY
Thomas Schroedl
1 week ago
Haven't watched a Graham Stephen video in a while, and I really enjoyed this one.
1
REPLY
Success with Stacee
1 month ago
I'm looking forward to the update in a few years when they include more details about the angel investments.  You've done an amazing job and.sharing your knowledge is helping so many people. Like button smashed!
2
REPLY
Dallin Stagg
1 month ago
Let me ask: do you have property managers for your properties or are you just really careful with choosing tenants?
4
REPLY
Kyle Hume
1 month ago
I jumped out of my seat when he threw that fog horn sound effect in there!
REPLY
allthehui tech vlogs
1 month ago
This video was SO helpful. This has inspired me to set a 2021 goal to hit my first million 🤔
2
REPLY
eugeneforge
1 month ago
Graham:  20 cents is too much for iced coffee.
Also Graham: If I invest in a coffee business, my iced coffee will pay me.
Me:  Brilliant!!!!
7
REPLY
nmotsa
1 week ago
Looks like you have had alot of luck. ""Being at the right place at right time""
1
REPLY
Energy god
2 weeks ago (edited)
Just imagine if you had invested more about the same time Elon Musk invested in stock, probably he might have still been the richest man in the world today,but do you know how much could be made by you equally? That's why i am still of the opinion that investing remains one of best ways to be financially big.
52
REPLY
View 3 replies
Ask Sebby
1 month ago
23:51 BRU!
276
REPLY
View 8 replies
Brady Anderson
1 month ago
As an 18 year old, I found this video really inspiring as you laid out the complete timeline of your business ventures. Keep up the great content Graham!
1
REPLY
Van Thomas
1 month ago (edited)
""I also invested a FOGHORN into Party Horn! ""
1
REPLY
girlstalkinsmack
1 month ago
all i hear is ""the sound of silence"" while watching this
REPLY
S Lapan
1 month ago
""I love The location"" but now im moving house
1
REPLY
Alex Esteban
1 month ago
SPOILER ALERT: $13M portfolio is made up off Smashed Like Buttons.
211
REPLY
View 8 replies
Ratchet Scram
1 month ago
I want to get to a point in my life where I can make my own coffee company instead of buying coffee
4
REPLY
View reply
Cholo Boy
1 month ago
""Shut up and take my money""
REPLY
Patrick
1 month ago
I'd love to see how you negotiate deals. That's the real special saucalito.
1
REPLY
Izadora Dau
3 weeks ago
Damn graham followed his heart when it came to a purchase. Soon he’ll start getting starbucks 😂
1
REPLY
Max Baxley
1 month ago
“bruh coffee”
REPLY
Matthew
1 month ago
I’ve figured it out! Your voice reminds me of Phineas from the show Phineas and Ferb
REPLY
Finance Veteran
1 month ago
I even use your coffee advice to start my entire YouTube channel 😂
REPLY
Edgar Mirzoyan
1 month ago
Wow Graham, proud of you. I remember watching your first random iPhone video while hosting an empty open house. Congratulations!
4
REPLY
thelaurenkri
1 month ago
Graham: ""I sold my car for an extra 10k, but then the bank said I needed 15k more, so I put it together""

... Bro... Do you have any organs left?
268
REPLY
View 6 replies
Juan C.
1 month ago
Wish you could have been my landlord, everyone in NY is raising prices.
2
REPLY
the_purcella
1 month ago
Is see you took Kevin o Leary’s advice if diversifying your assets :)
1
REPLY
SEPERATEHE
1 month ago
Thanks for the Transparancy Big Dude, This was definitely Inspiring ...
REPLY
Emmanuel Aboagye
1 month ago
Thanks for sharing Graham! Really inspiring. Quick question: Do you hold those properties in a trust or an LLC or as a sole proprietor? That would make an interesting video
REPLY
ArtyAlert
1 month ago
Graham, there's a coffee company called Bru that already exists
1
REPLY
zumbasusana
1 month ago
Still waiting on your dad to launch his YouTube channel.  😍🤣
REPLY
Russian Senior
3 weeks ago
But where did you get the inspiration from, how was that one person you look up to at 21
REPLY
Iam Antoine
1 month ago
I made 20cents by selling my iced coffee.
REPLY
hello world
1 month ago
Stephen ""How I gain $100K by explaining how I doubled my net worth"" Graham
489
REPLY
View 11 replies
Bad Badini
1 month ago
Good stuff appreciate this content, helps a lot!
REPLY
kris10g737
1 month ago
This is SO helpful. Thank you so much!
REPLY
Brenda Matthew
1 month ago
I've always wanted to invest in stocks then real estate, but the stock market downtrend earlier this year threw me off, regardless,  I read about investors that pulled off 7figures in profit and I'd love tips and clues on how to make better profit in 2021.
55
REPLY
View 10 replies
ILoveTacoTuesday
1 month ago
I’m pretty sure last time I watched your portfolio reveal it was $11 million! Congratulations on the gains bro and thanks for your advice always!!
REPLY
andrew covey
3 weeks ago
I really appreciate Graham’s transparency about his whole journey !
1
REPLY
Robin Mood
1 week ago
that's hyperinflation for you. Still, pretty cool!
REPLY
Kyler Byington
3 weeks ago
You showing your exact numbers earns my respect
6
REPLY
kevin anderson
1 month ago
Knowledge over money. Thank you Graham. I've found my niche. Thanks to God, you,and Andrei Jikh.
REPLY
Turtle Dept.
1 month ago
i like the video before even watching, love this guy
REPLY
Marco Salis
1 month ago
Wow Graham, you've come a long way! Kudos to you - well deserved.
REPLY
J.P. Busch
3 weeks ago
Respect for getting financially naked on YouTube. Thanks I can see better! Happy 2021 to you!
REPLY
An Average Asian
1 month ago
Thanks for teaching us that much Graham ! You're inspiring a lot of people :D
REPLY
B P
1 month ago
And here I thought the $1000 in my bank account was a lot
140
REPLY
View 7 replies
Xander Venter
1 month ago
I would say this is a great way to start my morning, but I nearly spat coffee all over my screen at around 1:04. Other than that, lead by example Graham!
REPLY
Tani Erickson
1 week ago
I found this video absolutely fascinating!  Thank you for all the detail and WOW.
REPLY
M VA
1 month ago
I hope you would be able to transfer some of those appreciated stocks to a donor advised fund (DAF) and donate to charity!
1
REPLY
David Risley
1 month ago
Great! Love these videos they are very informative and helpful.
REPLY
NCZIOOX
1 month ago
This inspired me to make a video about my entire $13 investment portfolio
64
REPLY
View 3 replies
Nanotech 5
1 month ago
When will Graham Stephan  call The Dave Ramsey show? Would love to see (hear) that!
1
REPLY
mafikisa
1 month ago
You are my inspiration. Am saving every cent, and I have made some good money which goes back to my investment
REPLY
K J
1 week ago
You revealed exactly how much you make by saying that the house in Vegas will pay for itself in 3 years with tax savings 😅
1
REPLY
Entrepreneur Zone
1 month ago
Very inspiring! I would need to add this in my next vids. 👍
REPLY
Jack Duffley
1 month ago
Gotta love Graham's consistent hustle, all without a college degree!
82
REPLY
View 5 replies from Graham Stephan and others
Shaz Mathew
1 month ago
Inspiring man, one day!
REPLY
Fred Bloggs
1 month ago
Thanks Graham. Very interesting. And inspiring. I'm really interested to hear about your stock picks and weightings during this year (and before). Sounds like you had a good eye. Glad you're here on YouTube sharing.
REPLY
mooseflex
1 month ago
Love you videos, great stuff, keep it up!  Are you at all concerned about water shortages in Las Vegas in future years?
REPLY
Oscar Hernandez
1 month ago (edited)
Over here 19 years old just sitting here like 🙂. I'm growing my investments and house hacking. Always enjoy your videos I have learned so much!
REPLY
Bugsy Sigal
1 month ago (edited)
Great job mr Graham. Once you start selling and cashing you real estate investments you will see how happy is tax man especially in California.
REPLY
Tristan N
1 month ago
Graham, it is time to start spending money
1
REPLY
Shaylynn Glenn
1 month ago
How do i invest in graham stephen himself?? I spend enough time on his channels I should be earning some kind of dividend or interest.
REPLY
Eternal A
1 month ago
I love these videos I acctually have learned so much from u and i wanna be a billionaire by 25 
Lol I am 12 years old btw
6
REPLY
Bori05 PR
1 month ago
I got 2 free stocks from Webull, SWN... now waiting on my other 2 stocks after the deposit... thanks Graham.
REPLY
Isaac Shenton
2 weeks ago
A lot of ad revenue, you finally got there Graham
REPLY
Moki Finance
1 month ago
Bru Coffee, love it!
REPLY
Kenny Thompson
1 month ago
Always appreciate your honesty Graham. Damn I wish I was an agent in the US. It's amazing how the financial system allows you to work.
REPLY
Mr Murloc
1 week ago
When you relize uou could give 1 dollar to all ur subs and still have 10 million left of your investments portfolio
REPLY
Purplanet
2 weeks ago
I refused to buy coffee today and my dumb brain lost my stuff, so I lost 50$ worth of stuff and saved 3$ on coffee.
REPLY
Kelly-Lois Gooden
1 month ago
Hey Graham, I've noticed that you started out by paying for your investment homes with cash. Do you recommend that for other new real estate investors ?
REPLY
Joao Moreira
1 month ago
This man and Andrei Jikh are the realest investment YouTubers that I know! Thank you guys!! You are really helping the community!
REPLY
Brandon Pruter
1 month ago
I can’t wait for
How I bought an engagement ring for free and had a free wedding
487
REPLY
View 13 replies
jiking94
3 weeks ago
Very inspirational. Thank you for putting this out into the universe
3
REPLY
Palace Wolf
1 month ago
I read 31 M :/ guess I’ll have to wait until next year
1
REPLY
xTr1ple
1 month ago
I swear i cant wait to see how much u invested as an Angel
REPLY
Luc The Gamer
3 weeks ago (edited)
23:51 the teaser for his own Coffey brand.
REPLY
Zane Oneiros
1 month ago
You’re always so dramatic in your thumbnails lol
REPLY
Hrag Torossian
1 month ago
Really appreciate the content keep going! Also it will be awesome if you  interview Rick harrison from pawnstars :)
1
REPLY
Brick Head
1 month ago
“”What’s up you grams,it’s Guys here””
Love to see an episode with all your unsuccessful choices(stocks,real estate etc)
🙏🙏🙏
4
REPLY
Nikolas Spradling
1 month ago
Should have changed the title, going from 6 to 13 mil in a year lmaoo
REPLY
Jason Ferreira
1 month ago
After I saw that episode on The Iced Coffee Hour with Nate O’Brien, I was expecting this video. Thank you Graham.
81
REPLY
View 2 replies from Graham Stephan and others
Kevin Xie
1 month ago
congratulations!, I believe that Graham's portfolio will double every year !!!  It is amazing!!!
1
REPLY
web2yt
1 month ago
% wise, has YT income been the highest earner?
REPLY
Zeandre Lee
1 month ago
I’ve learned to cut my own hair, cook my own food, taught myself how to invest
REPLY
Svetlana Piller
1 month ago
Recommendations how to avoid PMI when purchasing a home without paying 20%, by paying ahead? something like that?
REPLY
dylanmcdanger
1 month ago
Bro I love the overall look of the new place, super modern and I hope you go with the solid color wall you showed on insta!!!
REPLY
Saurabh Bagai
1 month ago
Thank you for sharing Graham.  The transparency is refreshing and it’s inspiring
REPLY
Wizard King
2 weeks ago (edited)
Hey watch guys! What watch hes wearing at this ?
REPLY
Abdul Forex & Investing
1 month ago
You sir are an inspiration ! I can imagine what your worth could be when you're 40 ! Keep this transparency!
4
REPLY
View reply
Teen Finance
1 month ago
5 million to 13 million that’s crazy can’t wait to see how you did it! Who’s here before Graham is billionaire?
89
REPLY
View 6 replies from Graham Stephan and others
Nixon Hanna
3 weeks ago
That coffee looks so cool
REPLY
P B
1 month ago (edited)
I have watched you from begining of your channel..your channel grew really fast.. Makes me very happy to see your growth. Congrats!!!!
REPLY
GiBiG
1 month ago
That bliep boathorn just gave me a flashback to spongebob squarepants! thanks GRAHAM!
REPLY
Brett
1 month ago
Graham I am Opening a webull account rn as I watch this. Can you make your next intro.  ""What's up you Grahamers its webull here!""
REPLY
Mross55
1 month ago (edited)
Would love to see a video on how you manage your properties in terms of repairs and other issues
24
REPLY
View reply
Brian M
1 month ago
FOR THE ALGORITHM!
REPLY
GAPZ
1 month ago
No way, i also own a property in San Bernardino!
REPLY
The Ivery Family Experience !
1 month ago
Inspiring and I love watching your channel. Thanks for being transparent.
REPLY
Hikers guide to the U.S.
1 month ago
You have encouraged me a lot with following this channel . I appreciate it
REPLY
Evan
1 month ago
Imagine young Graham finding out he would be worth 13 million at 30 years old. GOALS!
46
REPLY
View 7 replies
laura chamberlain
1 month ago
As someone looking for an investor for my company, where are some good places to find investors that you would recommend?  What are your thoughts on crowed funding?
REPLY
Hannah H.
4 weeks ago
Meanwhile figuring out how to pay off my credit card bill for the month😂 eventually I’ll get there
REPLY
Hoch die Hände Dividende
1 week ago
Great overview.
What is your actual debt/equity ratio on your real estates?
1
REPLY
Ada Gniedz
2 weeks ago
Wow you are/were earnning 150-250 k a month just on YouTube!
REPLY
Jeremy Hutton
1 month ago
Hey Grahm, asking for a friend, did you get a FUE procedure? If so it looks fantastic and would love to know where you got it.
REPLY
Reed Medsger
1 month ago
Dude your content was always amazing and now coffee🤙
REPLY
dread pirate robert
1 month ago
amazing as allways, you are an  inspiration  man keep it up
REPLY
AKhan 101
1 month ago
I genuinely appreciate your openness and honestly!! 🤜🤛
REPLY
Lofihifi
1 month ago
Those Tick tock finance channels when pressed would be showing us their “44k investment portfolio”
65
REPLY
View 9 replies
Brian Joslyn
1 month ago
Great video, yo!

I saved your Yotta link in my browser favorites.

I opted-in to your coffee list!

If ya don't mind sayin', will you have k-cups?
REPLY
AzureAnie
1 month ago
Graham, has he been hitting the gym?
REPLY
Jonathan Lopez
1 month ago
I gave a like to this video because of the joke, and it make me laugh lol
REPLY
Wellington Duran
3 weeks ago
Wow this is very insightful video, thank you!
REPLY
Most / Simple Guitar
1 month ago
I drank 20 cents by saving my iced coffee
18
REPLY
Seth Silvers
1 month ago
Really great video Graham. Watched the whole thing and found it very informative. Thank you!
REPLY
Alexandra Davis
1 month ago
Thanks for sharing this it was nice to get more insight!
REPLY
Hunter Norton
2 weeks ago
Graham comes on and I instantly want coffee.
REPLY
jalabi99
1 month ago
Graham: ""I'm investing in my own brand of coffee!""

Peter McKinnon intensifies
7
REPLY
View reply
Larissa kabeya
1 month ago
That’s amazing!
REPLY
Rey Flores
1 month ago (edited)
Im curious to know where Graham lived from 2012-2016
REPLY
NAIR
1 month ago
after watching your videos even though I don't get everything you say, something I've realized is that to become wealthy it's more about how to save money than how to earn it... if that makes sense?
REPLY
Thomas Dall
3 weeks ago
you're the greatest youtuber and the only on worth to watch, I wanna meet you IRL!!
REPLY
Phil Rodrigues
1 month ago
All that hustling over the years made you a baller today. Congrats on all your success much respect  for putting in the work 👍🤑
41
REPLY
Michael J. Guan
1 month ago
bruh graham 😭 you'll have like 25M by next year wtfff
REPLY
M J
1 month ago
Nothing like knowing what u want  finding out how 2 get it,  learning through practice n building bigger n bigger.

Graham you are an inspiration
REPLY
James 7176
1 month ago
How I turned my 20 cent iced coffee into 16 cent iced coffee with economies of scale making millions of coffee
REPLY
Anna richard
2 weeks ago
I make huge profits on my investment since i started trading with mrs Mary Clinton , her trading strategies are top notch
2
REPLY
Hamed MM16
1 month ago
That coffee packaging is sick. Cant wait to join the 20 cent iced coffee gang!
19
REPLY
Sophia & Savanna
1 month ago
Theses type videos are my favorite ones you make every year, very inspirational and looking forward to see the gains you make in nexts years video .. 20mill is on your horizon
7
REPLY
Will Siegel
1 month ago
How much time do you spend each week managing these properties (unless you hired a property manager)?
REPLY
Anthony Sadler
1 month ago
Can you do a video on how you did all your taxes during this time
REPLY
Axell Yokoyama
4 weeks ago
This makes me want to drop out of college lmao
REPLY
View reply
Naman Jain - Editing Photos Videos
1 month ago
Okay now i know where i would be buying my coffee next year
REPLY
Rhys Martin
1 month ago
One of the most compelling and personal stories you've shared on this channel. Thanks!
REPLY
N _
1 month ago
I would love to see you and Sebby do a collab.
REPLY
Cheyenne
1 month ago
Can you make a video on how to find angel investors or how you found companies to angel invest in?
REPLY
Always Bronze
1 month ago
And yet im here watching a guy explain for 30 mins his wealth and properties. 10/10 would watch again
REPLY
n w
1 month ago
Ok, so the message that I get from the whole video is that you are making YouTube videos from your garage 😂
REPLY
Joe T
2 weeks ago
So real estate investment good, YouTubing about how great you are at you specific skill is how you make your real money. Snore....
REPLY
Victor Nyorani
1 month ago
Work, save, invest. Thank you. lesson learnt.
REPLY
yaboyjuice102
1 month ago
Videos like this are very motivational. I’m on my third week of the real estate courses for century 21 realty. Gonna get that license get my first closing.
REPLY
View reply
Eva Bogard
1 month ago
Ads popping up every 2 minutes are the reason I don’t come here too often. 😐
2
REPLY
View reply
Ludde Ludvig
1 month ago
make a video when you go over your stock portfolio!
REPLY
Raymond Grey
2 weeks ago
From watching investment videos as a newbie,I was able to build a big income stream during this pandemic investing with a professional broker,Mrs Grace.
Read more
28
REPLY
View 7 replies
MeZzZzZzZzZzZzZzZzZ
1 month ago (edited)
This makes me feel bad about myself.
3
REPLY
View 2 replies
Burke & Mercer - The Investment Podcast
1 month ago
Graham’s videos are the only ones on YouTube that I like IMMEDIATELY
REPLY
Mindful Journey
1 month ago
Every time i watch your vid i want to quit my job. This year i made 3x of my corporate salart with my part time side hustle started 2 years ago. Still i dont have the courage to quit my corporate america job.....
REPLY
21:33
How To Make Passive Income with $500
Graham Stephan
1M views
5 months ago
57:18
Stock Market for Beginners 2021 | Step by Step Guide
Marko - WhiteBoard Finance
925K views
1 month ago
14:10
Suing Robinhood - Again
Graham Stephan
281K views
5 hours ago
New
16:47
Kevin O’Leary Reacts To My $10 Million Dollar Investment | Shark Tank
Graham Stephan
2M views
4 months ago
3:35:37
How to Get Rich: Every Episode
Naval
1.1M views
1 year ago
12:53
6 Millionaire Habits That Changed My Life
Graham Stephan
714K views
4 weeks ago
15:14
The 5 BEST Index Funds That Will Make You RICH
Graham Stephan
722K views
4 months ago
10:59
Why I Stopped Buying Real Estate
Graham Stephan
555K views
1 month ago
14:31
My Twin Brother Made $10 Million From Bitcoin
The Graham Stephan Show
251K views
1 month ago
11:27
Graham Stephan Reviews my Investments
Biaheza
402K views
2 months ago
33:18
Revealing my ENTIRE $20 Million Dollar Stock Portfolio.
Meet Kevin
370K views
2 weeks ago
27:44
How To Buy Your First Rental Property (Step by Step)
Graham Stephan
2.7M views
2 years ago
15:15
How I Became A Millionaire In 1 Year
Andrei Jikh
562K views
1 week ago
39:44
How to Buy Your First Rental Property (Noob vs Pro) | Step by Step
Meet Kevin
800K views
5 months ago
REVEALING MY NEW LAS VEGAS HOME TOUR | LEAVING CALIFORNIA
Graham Stephan
1.2M views
3 months ago
Mix - Graham Stephan
YouTube
The GameStop Infinite Money Glitch Explained
Graham Stephan
1.2M views
2 days ago
New
How Warren Buffett Made His First $1,000,000
The Swedish Investor
482K views
1 month ago
How to Retire in 7 Years Starting w/ $100 [The Rule of 200]
Meet Kevin
734K views
6 months ago
Revealing My Investment Portfolio
Nate O'Brien
186K views
3 months ago
How To Invest In Your 20’s to be Wealthy In Your 30’s
Graham Stephan
1.3M views
1 year ago
What Happens After Conor McGregor's Loss to Dustin Poirier?
PowerfulJRE
942K views
10 hours ago
New
MIDDLE GROUND  S5 • E4
Millionaires vs Minimum Wage: Did You Earn Your Money? | Middle Ground
Jubilee
8.8M views
1 year ago
How YouTuber Graham Stephan Lives in LA on $1.6M a Year | Glamour
Glamour
588K views
1 year ago
How I Made My First Million Dollars Part 1 | Ask Mr. Wonderful Shark Tank's Kevin O'Leary
Kevin O'Leary
1.2M views
7 months ago
13:17
I Tried Graham Stephan’s Yotta Bank | What You MUST Know
Andrei Jikh
152K views
4 months ago
14:04
My Investing Plan For 2021
Graham Stephan
364K views
4 days ago
New
19:48
Millionaire Reacts: How Much Money I Spend in a Week as a 25 Year Old Doctor | Ali Abdaal
The Graham Stephan Show
492K views
1 month ago
17:45
I Learned How to Day Trade In 3 Days
Jared West
194K views
8 months ago
14:22
How to be a Millionaire in 10 Years (Starting from $0)
Graham Stephan
1.3M views
2 years ago
17:38
Why The Middle Class Are Financially RUINED
Graham Stephan
492K views
1 week ago
18:54
The Millionaire Investing Advice For Teenagers
Graham Stephan
1.8M views
1 year ago
14:41
Passive Income: How Much You Need Invested To Make $200 Per Day
Graham Stephan
629K views
1 month ago
12:25
Why I’m Selling My Stocks
Graham Stephan
615K views
1 month ago
17:34
Explained | The Stock Market | FULL EPISODE | Netflix
Netflix
6.4M views
9 months ago
24:01
The Best Investing App For Beginners in 2021!?
Brendan Fitness and Money
72K views
2 months ago
20:25
The TRUTH About The 2021 Housing Market Crash
Minority Mindset
1M views
3 months ago
15:46
6 Millionaire Habits I Wish I Knew At 20
Graham Stephan
703K views
5 months ago
Revealing My ENTIRE Investment Portfolio
Nate O'Brien
172K views
10 months ago
My Thoughts On The 2021 Stock Market Crash
Graham Stephan
555K views
2 months ago",finance
1,1,"Here is a breakdown of my entire $13 million dollar investment portfolio, why I made each investment, and how I was able to build this up over 13 years - enjoy! Add me on Instagram: GPStephan 

TRY OUT YOTTA BANK AND GET 100 BONUS ENTRIES: ",finance
2,2,I saved 20 cents on my iced coffee by not drinking any,finance
3,3,I can't express how grateful I am for this insight.,finance
4,4,This guy got bad grades in high school? Nuff said!,finance
5,5,"Goals, actual goals!!",finance
6,6,"Hello everyone, l'm actually looking for a good trader that can help me trade and make good profits, but is very hard to see a trusted one... Any idea..",finance
7,7,Thanks Graham. I feel poor now,finance
8,8,Dangit i cant use Yotta im not 18 yet,finance
9,9,❤️❤️Big fan of u,finance
