,comment,label
0,"SKIP NAVIGATION
SIGN IN
0:00 / 6:07
#Fauci #CovidVaccine #NBCNews
One-On-One With Dr. Anthony Fauci | NBC Nightly News
1,928 views•Jan 29, 2021
108
133
SHARE
SAVE
NBC News
5.1M subscribers
SUBSCRIBE
Dr. Anthony Fauci speaks with NBC News’ Lester Holt about the effectiveness of Johnson & Johnson’s Covid-19 vaccine, how it compares to others, and the highly-contagious variants detected in the U.S.
» Subscribe to NBC News: 
SHOW MORE
21:25
NBC Nightly News Broadcast (Full) - January 28th, 2021 | NBC Nightly News
NBC News
1M views
1 day ago
New
Brilliant Hearing Tip Exposed
Breakthrough German Hearing Enhancer Expose the Market After Revealing Latest Breakthrough
Ad
secure.aidion.com
VISIT SITE
2:26
Johnson & Johnson Covid Vaccine 72 Percent Effective In U.S. | NBC Nightly News
NBC News
885 views
2 hours ago
New
Live: Fauci, White House Covid Response Team Hold Briefing | NBC News
NBC News
130K views
Streamed 10 hours ago
New
Former Republican Voter After Capitol Riot: I Want No Association With This Party Anymore | NBC News
NBC News
125K views
7 hours ago
New
NJ County Bought Enough Freezers To Store One Million Vaccines But They're Empty | NBC News NOW
NBC News
383 views
1 hour ago
New
Fauci Says Johnson & Johnson Covid Vaccine Effective In Preventing Severe Disease | NBC News NOW
NBC News
13K views
5 hours ago
New
20210129-1643 Rebecca's forecast for Friday evening
News4JAX
95 views
5 hours ago
New
NBC Nightly News Broadcast (Full) - January 29th, 2021 | NBC Nightly News
NBC News
2.6K views
19 minutes ago
New
FBI impersonators targeting North Florida residents, agency says
News4JAX
525 views
4 hours ago
New
1:50
Family Speaks Out After Daughter Body-Slammed By School Resource Officer | NBC Nightly News
NBC News
1.8K views
2 hours ago
New
1:30
Biden Visits Covid Vaccination Site During Trip To Walter Reed | NBC News NOW
NBC News
8.5K views
6 hours ago
New
3:37
Traders, Lawmakers Criticize Robinhood For Gamestop Decision | NBC News NOW
NBC News
6.6K views
10 hours ago
New
1:16:41
Live: New York Gov. Andrew Cuomo Holds Coronavirus Briefing | NBC News
NBC News
48K views
Streamed 9 hours ago
New
9:25
Video posted by Greene shows part of mask altercation with Bush
CNN
55K views
2 hours ago
New
2:28
Florida launches vaccine pre-registration website
News4JAX
100 views
3 hours ago
New
5:06
Watch: Biden and Harris Receive Economic Briefing | NBC News
NBC News
15K views
Streamed 10 hours ago
New
3:43
Pandemic Showing Impact On Early Education, Young Students | NBC News NOW
NBC News
2.2K views
8 hours ago
New
1:59
Cori Bush Moves Office Away From Rep. Marjorie Taylor Greene For ‘Team’s Safety’ | NBC Nightly News
NBC News
3.2K views
2 hours ago
New
1:19
FBI: Pipe Bombs Found In DC Planted Night Before Capitol Riot | NBC Nightly News
NBC News
1.1K views
2 hours ago
New
1:30
Friday afternoon news brief
News4JAX
73 views
5 hours ago
New
SHOW MORE
48 Comments
SORT BY
Add a public comment...
Danny Sedgwick
37 minutes ago
What a waste of time... this guy is spinning. Perfect fit for the Sleepy Beijing Biden Administration
6
REPLY
skoomalegend1
30 minutes ago
I don't know how to deal with the virus. Going to play it by ear as we go. For now, lets wear 13 mask to protect ourselves
6
REPLY
Matt Joseph
9 minutes ago
No reason to take the vaccine since we’re never going back to normal anyway.
3
REPLY
Ryan O'Malley
18 minutes ago
this clown hasn't been right about anything why is he still talking
3
REPLY
Lance Wells
34 minutes ago
Fauci: Supports masking
Also Fauci: Supports rimming
5
REPLY
View reply
bfcowden
15 minutes ago
squirrel head has another lie to tell us.
2
REPLY
Fun family Travel
19 minutes ago
Yes right we need a vaccine every single person but how about kids
1
REPLY
La B
16 minutes ago
Which lie are we heaping more BS on top of today?
2
REPLY
Elijah Bey
23 minutes ago
Medical Mafia.
2
REPLY
Too-old Forthischet
46 minutes ago
Healthy or alive?  What kind of question is that?  Hard hitting reporting.
4
REPLY
View reply
jao fernandes
21 minutes ago
Wanna hear a joke? ""The Experts""
3
REPLY
View reply
The Plushie Classroom
2 hours ago
First
2
REPLY
Don French
45 minutes ago
From this day 4th of February 2021, until the 6th of February 2021, Job2 of the Door2world Ministries who as co-inheritor with Jesus Christ and with HIS authority declares and decrees the following for ALL NON-CHRISTIANS in these United States of America and ALL other countries of this world:
REPLY
Remlik
48 minutes ago
#StopMedicalDisc
REPLY
Ken&Elaine Z
1 minute ago
Bug eyed fake Dr
REPLY
eric heine
57 minutes ago
The virus uses a water droplet as a delivery system. The syringe is a very primitive delivery system. Why didn't we put the vaccine on the back of a stamp?
REPLY
Mandi's Houseplant Channel
50 minutes ago
Wishing everyone a fabulous weekend ☺️
3
REPLY
View 2 replies
Feudal T. Berfths
1 hour ago
""Why did you change your gender for the other fake accounts?""

Fake Account  ""FIIIRSSST!!!""
1
REPLY
Sherry Keeney
39 minutes ago
LIE LIE LIE LIE LIE & MORE LIE LIE LIE
4
REPLY
VladI
1 hour ago
Doctor Fauchi won't be asked to doctor things anymore.
4
REPLY
Paul Smith
43 minutes ago
Fraud..Quack
6
REPLY
View 2 replies
Isabelle Capone
1 hour ago
Mother Teresa SON  #FAUCI
REPLY
chinookvalley
22 minutes ago
I don't understand how people in this comment section don't know anything about viruses.  I'm in my 60's and basic  jr high school biology taught us how viruses grow, spread and mutate.  50 years ago, my school said, to prevent illnesses: practice good hygiene and wash your hands, keep a safe distance, and wear a mask.  Simple works.
1
REPLY
Guy Smith
1 hour ago
If you owe back child support will you get the 1400 stimulus check ??? They took my first stimulas check and gave me my second one. Now I'm herring there gonna take my 1400 bucks but the 1400 bucks is suppose to be the rest of the 600 can someone please tell me what's really going on please
1
REPLY
View reply
Rhonda Schaaf
2 hours ago
Miss me with the mess your spewing... Dr. Fraudcie.... Have you talked with Bill Gates lately... Lol
4
REPLY
Isabelle Capone
1 hour ago (edited)
No one hears the Worm, the Worm always Lies . My niece works at a BIG Hospital in N Y and there are no COVID Patients .
3
REPLY
xxdragan1969#2
1 hour ago
Keep believing flock..you going to the gulags soon
2
REPLY
Tom Lakosh
33 minutes ago
The poor fitting, ad hoc dust masks won't stop the new UK virus strain and it will take several months to vaccinate everyone with a vaccine that might not work, (e.g. resistant SA or Brazil strains), or need booster shots every few months. We need improved Hazmat Level C full face and half face respirators now. The improved respirators must include a P100 filter cartridge that screws onto the exhaust valve seat to prevent virus transmission from an infected wearer. Please use the DPA and legislation to increase production of respirators designed to prevent the spread of all COVID strains and save us from these dangerous dust masks. See Hazmat Level C: 
Read more
REPLY
gunit 010
1 hour ago (edited)
Thank you donald trump for your LEADERSHIP for record breaking VACCINE
3
REPLY
View reply",news
1,,news
2,"Dr. Anthony Fauci speaks with NBC News’ Lester Holt about the effectiveness of Johnson & Johnson’s Covid-19 vaccine, how it compares to others, and the highly-contagious variants detected in the U.S.
» Subscribe to NBC News: ",news
3,What a waste of time... this guy is spinning. Perfect fit for the Sleepy Beijing Biden Administration,news
4,"I don't know how to deal with the virus. Going to play it by ear as we go. For now, lets wear 13 mask to protect ourselves",news
5,No reason to take the vaccine since we’re never going back to normal anyway.,news
6,this clown hasn't been right about anything why is he still talking,news
7,"Fauci: Supports masking
Also Fauci: Supports rimming",news
8,squirrel head has another lie to tell us.,news
9,Yes right we need a vaccine every single person but how about kids,news
